ID;sexe;age;revenus_K€;enfants;enfant_conduite_accompagnee;type_vehicule;age_vehicule;est_rouge;usage_vehicule;type_conduite;points_perdus;date_demande;formule;tarif_devis_€
468;F;< 15;[75-100];non;non;Panel Truck;;non;Commercial;Highly Urban/ Urban;1;janvier;dev_premium;[450-600]
469;F;[15-25];< 25;non;non;z_SUV;6;non;Private;Highly Urban/ Urban;2;mai;dev_integral;[300-450]
470;F;[55-65];< 25;oui;oui;Minivan;1;non;Commercial;Highly Urban/ Urban;6;janvier;dev_integral;[300-450]
471;F;[55-65];< 25;oui;non;z_SUV;6;non;Private;Highly Urban/ Urban;7;mai;dev_express;< 300
472;M;[25-35];[75-100];non;non;Minivan;9;oui;Private;Highly Urban/ Urban;1;mars;dev_express;< 300
473;M;[15-25];[25-50];oui;non;z_SUV;4;non;Private;Highly Urban/ Urban;7;janvier;dev_premium;[450-600]
474;F;< 15;[50-75];oui;non;Pickup;9;non;Private;Highly Urban/ Urban;2;avril;dev_integral;[300-450]
475;M;[55-65];< 25;non;non;z_SUV;1;non;Private;Highly Urban/ Urban;1;mai;dev_express;< 300
476;F;[15-25];< 25;oui;non;z_SUV;1;non;Private;Highly Urban/ Urban;8;mars;dev_express;< 300
477;F;> 75;< 25;non;non;z_SUV;8;non;Private;Highly Urban/ Urban;1;mars;dev_integral;[300-450]
478;M;[25-35];[100-125];non;non;Panel Truck;18;oui;Commercial;Highly Urban/ Urban;0;avril;dev_integral;< 300
479;M;[25-35];> 150;non;non;Minivan;11;non;Private;Highly Urban/ Urban;0;avril;dev_integral;[300-450]
480;F;[65-75];[50-75];non;non;Pickup;6;oui;Commercial;Highly Urban/ Urban;1;avril;dev_express;< 300
481;F;[65-75];< 25;non;non;z_SUV;1;non;Private;z_Highly Rural/ Rural;0;mai;dev_integral;[300-450]
482;F;[65-75];< 25;oui;non;Van;1;oui;Private;Highly Urban/ Urban;6;mai;dev_express;< 300
483;F;[25-35];[50-75];oui;non;z_SUV;;non;Private;Highly Urban/ Urban;0;mars;dev_express;< 300
484;F;[45-55];[50-75];oui;oui;Minivan;7;non;Private;Highly Urban/ Urban;3;mai;dev_premium;[450-600]
485;F;[65-75];[100-125];non;non;Sports Car;10;non;Private;Highly Urban/ Urban;1;mars;dev_integral;[300-450]
486;F;< 15;< 25;non;non;Minivan;1;non;Private;z_Highly Rural/ Rural;0;mai;dev_integral;< 300
487;F;[15-25];[25-50];oui;oui;Sports Car;1;non;Private;Highly Urban/ Urban;1;avril;dev_integral;< 300
488;M;[55-65];[25-50];non;non;z_SUV;1;non;Commercial;z_Highly Rural/ Rural;0;mai;dev_premium;[300-450]
489;M;< 15;[25-50];oui;non;Sports Car;10;non;Private;Highly Urban/ Urban;5;février;dev_express;< 300
490;M;[25-35];[25-50];oui;non;Minivan;8;non;Commercial;Highly Urban/ Urban;0;mai;dev_express;< 300
491;F;[55-65];[50-75];oui;oui;z_SUV;10;non;Private;Highly Urban/ Urban;1;mai;dev_express;< 300
492;M;[65-75];[50-75];oui;non;z_SUV;6;non;Private;Highly Urban/ Urban;2;mai;dev_express;< 300
493;F;> 75;< 25;non;non;Pickup;11;oui;Commercial;z_Highly Rural/ Rural;2;mars;dev_integral;< 300
494;M;[45-55];[25-50];non;non;z_SUV;1;non;Private;Highly Urban/ Urban;4;février;dev_integral;[300-450]
495;F;< 15;[100-125];non;non;Panel Truck;8;oui;Commercial;Highly Urban/ Urban;4;mai;dev_premium;[450-600]
496;F;[15-25];[25-50];non;non;Minivan;;non;Private;z_Highly Rural/ Rural;3;mai;dev_premium;[300-450]
497;F;[65-75];[75-100];non;non;Van;13;oui;Commercial;Highly Urban/ Urban;1;janvier;dev_integral;< 300
498;M;< 15;< 25;oui;oui;Pickup;1;oui;Commercial;Highly Urban/ Urban;1;janvier;dev_integral;[300-450]
499;M;[45-55];> 150;non;non;Pickup;19;non;Private;Highly Urban/ Urban;0;mars;dev_integral;[300-450]
500;M;> 75;< 25;non;non;z_SUV;9;non;Private;z_Highly Rural/ Rural;1;mars;dev_integral;[300-450]
501;M;[15-25];[50-75];non;non;Pickup;;oui;Private;Highly Urban/ Urban;0;mai;dev_express;< 300
502;F;[55-65];[100-125];non;non;Minivan;15;non;Private;Highly Urban/ Urban;0;mars;dev_express;< 300
503;F;> 75;[25-50];non;non;Pickup;10;non;Private;z_Highly Rural/ Rural;0;mai;dev_premium;[450-600]
504;F;< 15;[125-150];non;non;z_SUV;7;non;Private;Highly Urban/ Urban;0;mai;dev_integral;[300-450]
505;F;[55-65];[25-50];oui;non;Pickup;1;non;Commercial;Highly Urban/ Urban;0;mai;dev_express;< 300
506;F;> 75;[100-125];non;non;Van;12;non;Commercial;Highly Urban/ Urban;2;mai;dev_express;< 300
507;F;[45-55];[50-75];non;non;Pickup;1;oui;Private;z_Highly Rural/ Rural;1;mai;dev_integral;[300-450]
508;M;[45-55];< 25;non;non;Minivan;8;oui;Commercial;Highly Urban/ Urban;0;mars;dev_integral;< 300
509;F;[45-55];[125-150];non;non;Van;10;oui;Commercial;Highly Urban/ Urban;3;mars;dev_premium;[300-450]
510;F;[45-55];[125-150];non;non;Minivan;13;non;Private;Highly Urban/ Urban;0;mars;dev_express;< 300
511;F;[55-65];[75-100];non;non;z_SUV;1;non;Private;Highly Urban/ Urban;0;janvier;dev_express;< 300
512;M;[55-65];< 25;oui;non;z_SUV;1;non;Commercial;Highly Urban/ Urban;2;janvier;dev_express;< 300
513;F;[15-25];< 25;non;non;Minivan;17;oui;Commercial;Highly Urban/ Urban;1;avril;dev_integral;< 300
514;M;[55-65];[25-50];non;non;Pickup;7;oui;Commercial;z_Highly Rural/ Rural;0;mai;dev_premium;[300-450]
515;M;[55-65];[75-100];non;non;Minivan;21;non;Private;Highly Urban/ Urban;0;avril;dev_express;< 300
516;M;[55-65];[125-150];oui;non;Minivan;8;oui;Private;Highly Urban/ Urban;0;mars;dev_integral;[300-450]
517;F;[55-65];[75-100];oui;non;Minivan;1;non;Commercial;Highly Urban/ Urban;7;mars;dev_integral;< 300
518;F;[25-35];[100-125];non;non;Panel Truck;11;oui;Commercial;Highly Urban/ Urban;0;mars;dev_express;< 300
519;M;[25-35];< 25;non;non;Minivan;22;oui;Private;Highly Urban/ Urban;0;février;dev_integral;[300-450]
520;F;> 75;[125-150];non;non;z_SUV;10;non;Commercial;Highly Urban/ Urban;4;avril;dev_premium;[450-600]
521;M;[65-75];[25-50];non;non;Minivan;;non;Private;Highly Urban/ Urban;0;février;dev_integral;[300-450]
522;F;[65-75];[25-50];non;non;z_SUV;8;non;Private;Highly Urban/ Urban;2;février;dev_integral;< 300
523;M;< 15;< 25;oui;oui;Minivan;4;non;Commercial;z_Highly Rural/ Rural;0;avril;dev_integral;[300-450]
524;M;[15-25];[100-125];non;non;Minivan;;non;Private;Highly Urban/ Urban;3;mai;dev_express;< 300
525;F;> 75;[25-50];non;non;z_SUV;7;non;Private;Highly Urban/ Urban;5;avril;dev_express;< 300
526;F;[55-65];< 25;non;non;Minivan;1;oui;Private;Highly Urban/ Urban;0;mai;dev_premium;[300-450]
527;M;[25-35];< 25;non;non;Pickup;1;non;Commercial;Highly Urban/ Urban;0;février;dev_express;< 300
528;F;[55-65];[25-50];oui;oui;z_SUV;6;non;Private;Highly Urban/ Urban;9;mai;dev_integral;[300-450]
529;M;> 75;[75-100];oui;non;Pickup;4;non;Commercial;z_Highly Rural/ Rural;0;février;dev_integral;[300-450]
530;M;> 75;[50-75];oui;non;Sports Car;;non;Private;Highly Urban/ Urban;0;mai;dev_express;< 300
531;F;> 75;[25-50];non;non;Minivan;9;non;Private;Highly Urban/ Urban;0;mai;dev_express;< 300
532;M;[55-65];[25-50];oui;non;Panel Truck;1;oui;Commercial;Highly Urban/ Urban;4;mars;dev_express;< 300
533;M;[45-55];[50-75];oui;oui;Pickup;8;oui;Commercial;z_Highly Rural/ Rural;2;mars;dev_express;< 300
534;M;> 75;< 25;non;non;Pickup;1;oui;Commercial;Highly Urban/ Urban;3;mars;dev_express;< 300
535;M;[65-75];[25-50];oui;non;Pickup;13;oui;Commercial;z_Highly Rural/ Rural;2;mai;dev_premium;[300-450]
536;M;[45-55];< 25;oui;non;Pickup;9;oui;Private;Highly Urban/ Urban;3;avril;dev_express;< 300
537;F;[55-65];[50-75];non;non;z_SUV;1;non;Commercial;Highly Urban/ Urban;1;janvier;dev_express;< 300
538;F;[65-75];< 25;oui;non;Minivan;;oui;Private;z_Highly Rural/ Rural;2;janvier;dev_express;< 300
539;F;[35-45];< 25;oui;non;Sports Car;8;non;Private;z_Highly Rural/ Rural;2;janvier;dev_integral;< 300
540;F;[45-55];< 25;non;non;Pickup;1;oui;Private;Highly Urban/ Urban;1;mai;dev_express;< 300
541;M;< 15;[125-150];non;non;Pickup;15;non;Private;Highly Urban/ Urban;2;mai;dev_integral;[300-450]
542;F;< 15;[75-100];oui;oui;Sports Car;18;non;Private;Highly Urban/ Urban;7;mars;dev_express;< 300
543;M;> 75;[50-75];non;non;Minivan;12;non;Private;Highly Urban/ Urban;2;février;dev_express;< 300
544;M;> 75;[25-50];non;non;Minivan;17;oui;Private;z_Highly Rural/ Rural;0;mars;dev_integral;[300-450]
545;F;[55-65];[50-75];non;non;Sports Car;1;non;Private;Highly Urban/ Urban;0;février;dev_integral;[300-450]
546;F;> 75;[75-100];oui;oui;Panel Truck;14;oui;Commercial;z_Highly Rural/ Rural;0;mai;dev_integral;[300-450]
547;M;[55-65];[25-50];non;non;Sports Car;9;non;Private;Highly Urban/ Urban;2;février;dev_integral;< 300
548;M;[25-35];[25-50];non;non;z_SUV;7;non;Private;Highly Urban/ Urban;3;avril;dev_express;< 300
549;F;[65-75];[50-75];non;non;Sports Car;9;non;Private;Highly Urban/ Urban;0;janvier;dev_integral;< 300
550;M;[65-75];> 150;non;non;z_SUV;12;non;Private;Highly Urban/ Urban;3;janvier;dev_integral;< 300
551;F;[25-35];[25-50];oui;non;Pickup;11;oui;Private;z_Highly Rural/ Rural;2;février;dev_premium;[450-600]
552;M;[35-45];[75-100];non;non;z_SUV;18;non;Private;Highly Urban/ Urban;0;mars;dev_integral;[300-450]
553;M;[65-75];< 25;non;non;Sports Car;20;non;Private;Highly Urban/ Urban;0;avril;dev_integral;[300-450]
554;M;> 75;[25-50];non;non;z_SUV;9;non;Commercial;Highly Urban/ Urban;4;mars;dev_integral;[300-450]
555;M;[45-55];[25-50];non;non;z_SUV;5;non;Commercial;Highly Urban/ Urban;0;janvier;dev_integral;[300-450]
556;M;> 75;[25-50];oui;oui;Pickup;7;non;Commercial;Highly Urban/ Urban;1;mars;dev_express;< 300
557;M;[15-25];< 25;non;non;Minivan;1;non;Private;z_Highly Rural/ Rural;0;avril;dev_express;< 300
558;M;< 15;[50-75];oui;non;Minivan;;non;Private;Highly Urban/ Urban;0;avril;dev_integral;[300-450]
559;F;[65-75];< 25;non;non;Panel Truck;;oui;Commercial;Highly Urban/ Urban;0;mai;dev_integral;[300-450]
560;M;> 75;< 25;non;non;Pickup;1;oui;Private;Highly Urban/ Urban;4;avril;dev_integral;[300-450]
561;M;< 15;[50-75];non;non;Minivan;19;oui;Private;Highly Urban/ Urban;0;mars;dev_express;< 300
562;M;[15-25];< 25;non;non;Sports Car;10;non;Private;Highly Urban/ Urban;0;avril;dev_integral;[300-450]
563;M;[35-45];[25-50];non;non;Van;18;oui;Commercial;Highly Urban/ Urban;3;mars;dev_integral;[300-450]
564;M;[45-55];< 25;oui;non;Minivan;10;non;Private;Highly Urban/ Urban;1;mai;dev_express;< 300
565;F;[15-25];< 25;oui;non;Van;1;non;Private;Highly Urban/ Urban;0;janvier;dev_integral;< 300
566;M;[25-35];[75-100];oui;oui;z_SUV;16;non;Private;Highly Urban/ Urban;4;mai;dev_express;< 300
567;F;[55-65];< 25;non;non;z_SUV;9;non;Private;Highly Urban/ Urban;0;mai;dev_express;< 300
568;M;< 15;< 25;oui;oui;Pickup;7;non;Private;Highly Urban/ Urban;1;février;dev_integral;[300-450]
569;F;> 75;> 150;non;non;Pickup;15;non;Private;Highly Urban/ Urban;0;mars;dev_integral;< 300
570;M;[25-35];[50-75];non;non;z_SUV;13;non;Private;Highly Urban/ Urban;4;mai;dev_express;< 300
571;F;[55-65];> 150;non;non;Minivan;14;non;Private;Highly Urban/ Urban;0;mars;dev_premium;[300-450]
572;F;[15-25];[75-100];oui;non;Panel Truck;24;oui;Commercial;Highly Urban/ Urban;0;avril;dev_premium;[450-600]
573;F;[65-75];< 25;non;non;Pickup;10;non;Commercial;Highly Urban/ Urban;3;janvier;dev_express;< 300
574;F;[65-75];[75-100];non;non;z_SUV;13;non;Private;Highly Urban/ Urban;4;mars;dev_express;< 300
575;F;< 15;< 25;non;non;Pickup;17;oui;Private;z_Highly Rural/ Rural;0;mai;dev_express;< 300
576;M;> 75;[75-100];oui;non;Van;8;oui;Commercial;Highly Urban/ Urban;4;mai;dev_integral;< 300
577;F;[55-65];[50-75];non;non;Pickup;15;oui;Private;Highly Urban/ Urban;0;mai;dev_integral;< 300
578;M;[15-25];< 25;non;non;Minivan;10;non;Commercial;Highly Urban/ Urban;1;mai;dev_express;< 300
579;M;[55-65];< 25;non;non;Minivan;1;oui;Private;Highly Urban/ Urban;3;avril;dev_integral;[300-450]
580;M;[45-55];[75-100];non;non;z_SUV;1;non;Private;Highly Urban/ Urban;8;mai;dev_integral;[300-450]
581;M;[55-65];[25-50];oui;non;Minivan;1;oui;Private;Highly Urban/ Urban;2;avril;dev_premium;[300-450]
582;M;[45-55];< 25;oui;non;Panel Truck;10;oui;Commercial;Highly Urban/ Urban;0;janvier;dev_express;< 300
583;M;[55-65];[50-75];oui;non;Minivan;13;oui;Private;Highly Urban/ Urban;1;avril;dev_express;< 300
584;M;> 75;< 25;non;non;Minivan;7;oui;Private;z_Highly Rural/ Rural;0;février;dev_integral;[300-450]
585;F;[35-45];[75-100];non;non;Minivan;;non;Commercial;Highly Urban/ Urban;0;janvier;dev_integral;[300-450]
586;M;> 75;< 25;non;non;Sports Car;1;non;Private;Highly Urban/ Urban;2;janvier;dev_integral;[300-450]
587;M;> 75;[50-75];oui;oui;z_SUV;5;non;Private;Highly Urban/ Urban;1;mai;dev_premium;[300-450]
588;M;> 75;< 25;oui;non;z_SUV;10;non;Private;z_Highly Rural/ Rural;0;mars;dev_premium;[300-450]
589;M;[55-65];< 25;non;non;z_SUV;3;non;Private;Highly Urban/ Urban;5;février;dev_integral;< 300
590;M;[35-45];< 25;oui;oui;z_SUV;1;non;Private;z_Highly Rural/ Rural;0;avril;dev_express;< 300
591;F;> 75;[25-50];non;non;Pickup;1;oui;Private;Highly Urban/ Urban;0;avril;dev_express;< 300
592;F;[45-55];[125-150];non;non;Panel Truck;10;oui;Commercial;Highly Urban/ Urban;5;mai;dev_integral;[300-450]
593;M;< 15;[100-125];non;non;Van;;oui;Private;Highly Urban/ Urban;6;janvier;dev_express;< 300
594;M;< 15;[75-100];oui;non;z_SUV;14;non;Private;Highly Urban/ Urban;0;avril;dev_integral;[300-450]
595;F;> 75;[50-75];non;non;z_SUV;6;non;Private;Highly Urban/ Urban;0;avril;dev_integral;[300-450]
596;M;> 75;[25-50];non;non;Sports Car;19;non;Private;Highly Urban/ Urban;1;janvier;dev_express;< 300
597;M;[35-45];< 25;non;non;Minivan;6;oui;Private;z_Highly Rural/ Rural;2;février;dev_integral;[300-450]
598;M;> 75;> 150;non;non;Minivan;14;oui;Private;Highly Urban/ Urban;2;mars;dev_integral;< 300
599;M;[55-65];< 25;non;non;Sports Car;20;non;Private;z_Highly Rural/ Rural;2;février;dev_premium;[300-450]
600;F;[25-35];[75-100];oui;non;Pickup;7;oui;Commercial;Highly Urban/ Urban;7;février;dev_integral;< 300
601;M;[55-65];< 25;oui;oui;Pickup;1;oui;Commercial;z_Highly Rural/ Rural;2;mars;dev_premium;[300-450]
602;M;[55-65];[75-100];oui;oui;z_SUV;13;non;Commercial;Highly Urban/ Urban;1;janvier;dev_express;< 300
603;F;[55-65];< 25;oui;oui;Minivan;13;non;Private;Highly Urban/ Urban;0;mars;dev_integral;[300-450]
604;M;[65-75];> 150;non;non;Panel Truck;6;oui;Commercial;Highly Urban/ Urban;0;mai;dev_express;< 300
605;F;< 15;[75-100];non;non;z_SUV;1;non;Commercial;Highly Urban/ Urban;3;janvier;dev_premium;[450-600]
606;M;[25-35];< 25;non;non;Sports Car;7;non;Private;z_Highly Rural/ Rural;0;mai;dev_premium;[450-600]
607;F;[55-65];[50-75];oui;non;Minivan;15;oui;Private;Highly Urban/ Urban;1;février;dev_integral;[300-450]
608;M;[45-55];[50-75];non;non;Van;13;oui;Commercial;Highly Urban/ Urban;0;avril;dev_premium;[450-600]
609;M;[65-75];[50-75];non;non;Minivan;7;non;Commercial;Highly Urban/ Urban;2;février;dev_integral;< 300
610;F;< 15;[25-50];oui;non;z_SUV;7;non;Commercial;z_Highly Rural/ Rural;0;mai;dev_express;< 300
611;M;[65-75];[75-100];non;non;Minivan;7;non;Private;Highly Urban/ Urban;0;mars;dev_integral;[300-450]
612;M;[15-25];[125-150];oui;non;Minivan;16;oui;Private;Highly Urban/ Urban;0;février;dev_integral;[300-450]
613;F;[35-45];[75-100];non;non;z_SUV;15;non;Private;z_Highly Rural/ Rural;0;janvier;dev_premium;[300-450]
614;M;< 15;[25-50];non;non;Minivan;7;non;Commercial;Highly Urban/ Urban;0;février;dev_premium;[450-600]
615;M;[15-25];> 150;non;non;Van;18;oui;Private;Highly Urban/ Urban;0;avril;dev_integral;[300-450]
616;F;[65-75];> 150;non;non;Sports Car;21;non;Private;Highly Urban/ Urban;4;mars;dev_express;< 300
617;F;< 15;[75-100];non;non;z_SUV;13;non;Private;z_Highly Rural/ Rural;1;janvier;dev_integral;[300-450]
618;M;[55-65];[25-50];oui;oui;Sports Car;11;non;Private;Highly Urban/ Urban;0;mars;dev_integral;[300-450]
619;F;< 15;[25-50];non;non;Sports Car;;non;Commercial;Highly Urban/ Urban;2;février;dev_integral;< 300
620;F;[25-35];[75-100];non;non;Minivan;;oui;Private;z_Highly Rural/ Rural;2;avril;dev_express;< 300
621;M;[65-75];< 25;oui;non;Minivan;5;oui;Private;Highly Urban/ Urban;3;mai;dev_integral;[300-450]
622;F;[15-25];> 150;non;non;Panel Truck;17;oui;Commercial;z_Highly Rural/ Rural;0;janvier;dev_express;< 300
623;M;[15-25];[75-100];non;non;Sports Car;14;non;Private;Highly Urban/ Urban;3;mars;dev_express;< 300
624;M;[15-25];[100-125];non;non;Pickup;10;non;Private;Highly Urban/ Urban;0;mai;dev_integral;< 300
625;M;[15-25];[50-75];non;non;Sports Car;11;non;Commercial;Highly Urban/ Urban;1;avril;dev_integral;[300-450]
626;M;[15-25];[25-50];non;non;Van;18;non;Private;Highly Urban/ Urban;0;avril;dev_integral;[300-450]
627;M;[15-25];[25-50];non;non;Pickup;1;non;Private;z_Highly Rural/ Rural;3;février;dev_premium;[450-600]
628;F;[55-65];[100-125];non;non;Minivan;11;non;Private;Highly Urban/ Urban;2;avril;dev_express;< 300
629;M;< 15;> 150;non;non;Minivan;13;non;Private;Highly Urban/ Urban;0;avril;dev_express;< 300
630;M;[35-45];[75-100];non;non;Minivan;9;oui;Commercial;Highly Urban/ Urban;0;avril;dev_premium;[300-450]
631;M;[45-55];[25-50];non;non;Sports Car;1;non;Private;Highly Urban/ Urban;4;avril;dev_integral;< 300
632;M;[15-25];[50-75];non;non;Pickup;8;oui;Private;Highly Urban/ Urban;0;mars;dev_integral;[300-450]
633;M;< 15;[125-150];non;non;Minivan;15;oui;Private;Highly Urban/ Urban;1;mars;dev_integral;[300-450]
634;F;> 75;[50-75];non;non;Sports Car;8;non;Private;Highly Urban/ Urban;2;avril;dev_integral;< 300
635;F;[15-25];[75-100];oui;non;Van;7;non;Commercial;Highly Urban/ Urban;1;mars;dev_express;< 300
636;F;[15-25];[50-75];oui;oui;Pickup;10;non;Commercial;Highly Urban/ Urban;4;février;dev_integral;[300-450]
637;F;[25-35];[75-100];non;non;Panel Truck;;non;Commercial;z_Highly Rural/ Rural;0;février;dev_integral;[300-450]
638;F;[65-75];[25-50];non;non;z_SUV;1;non;Private;z_Highly Rural/ Rural;0;février;dev_integral;< 300
639;F;[65-75];[50-75];oui;non;Pickup;1;non;Commercial;Highly Urban/ Urban;2;mars;dev_express;< 300
640;F;> 75;[25-50];non;non;Pickup;1;non;Commercial;Highly Urban/ Urban;1;avril;dev_premium;[300-450]
641;M;[65-75];< 25;oui;oui;Sports Car;1;non;Private;Highly Urban/ Urban;4;février;dev_premium;[450-600]
642;F;[15-25];< 25;non;non;Minivan;7;oui;Private;Highly Urban/ Urban;0;mars;dev_integral;[300-450]
643;F;[25-35];[25-50];non;non;z_SUV;1;non;Private;z_Highly Rural/ Rural;0;janvier;dev_integral;< 300
644;M;[55-65];< 25;oui;oui;Minivan;7;oui;Private;z_Highly Rural/ Rural;2;mai;dev_integral;[300-450]
645;F;[45-55];> 150;non;non;Minivan;17;non;Private;Highly Urban/ Urban;6;avril;dev_premium;[300-450]
646;F;[15-25];[75-100];non;non;z_SUV;1;non;Private;Highly Urban/ Urban;0;février;dev_integral;[300-450]
647;M;[65-75];[125-150];oui;non;Minivan;25;non;Private;Highly Urban/ Urban;0;mars;dev_express;< 300
648;M;[55-65];[75-100];non;non;Minivan;9;non;Commercial;z_Highly Rural/ Rural;1;mai;dev_integral;[300-450]
649;M;[25-35];> 150;non;non;Pickup;16;non;Commercial;Highly Urban/ Urban;0;février;dev_integral;[300-450]
650;F;[25-35];[75-100];oui;non;Sports Car;;non;Private;Highly Urban/ Urban;0;mars;dev_integral;[300-450]
651;M;[55-65];[25-50];non;non;z_SUV;8;non;Commercial;z_Highly Rural/ Rural;1;février;dev_premium;[300-450]
652;F;[55-65];[50-75];non;non;z_SUV;1;non;Private;Highly Urban/ Urban;0;janvier;dev_integral;[300-450]
653;M;[65-75];[25-50];oui;non;Minivan;1;non;Commercial;Highly Urban/ Urban;6;janvier;dev_integral;< 300
654;F;[35-45];> 150;oui;oui;Panel Truck;18;non;Commercial;Highly Urban/ Urban;0;janvier;dev_vip;> 600
655;M;[55-65];[50-75];oui;non;z_SUV;1;non;Commercial;Highly Urban/ Urban;0;mars;dev_integral;[300-450]
656;F;> 75;< 25;non;non;z_SUV;1;non;Private;z_Highly Rural/ Rural;0;janvier;dev_integral;[300-450]
657;M;[55-65];[25-50];oui;oui;Van;1;oui;Commercial;Highly Urban/ Urban;1;mai;dev_integral;< 300
658;F;[65-75];< 25;oui;oui;z_SUV;6;non;Private;z_Highly Rural/ Rural;2;janvier;dev_integral;[300-450]
659;F;[65-75];[125-150];non;non;Minivan;11;oui;Private;Highly Urban/ Urban;1;janvier;dev_integral;[300-450]
660;F;> 75;< 25;non;non;Pickup;4;non;Commercial;Highly Urban/ Urban;1;avril;dev_premium;[300-450]
661;F;[25-35];[25-50];non;non;Pickup;14;oui;Commercial;z_Highly Rural/ Rural;4;mars;dev_integral;[300-450]
662;M;> 75;< 25;non;non;Van;22;non;Private;z_Highly Rural/ Rural;2;mai;dev_vip;> 600
663;M;[45-55];[50-75];oui;non;Minivan;16;non;Private;Highly Urban/ Urban;5;février;dev_premium;[450-600]
664;M;[45-55];[25-50];non;non;Sports Car;6;non;Private;Highly Urban/ Urban;0;mars;dev_integral;[300-450]
665;M;[35-45];[100-125];oui;oui;Pickup;18;oui;Commercial;Highly Urban/ Urban;4;avril;dev_integral;[300-450]
666;M;> 75;< 25;oui;oui;z_SUV;1;non;Private;Highly Urban/ Urban;0;janvier;dev_premium;[450-600]
667;M;< 15;[50-75];non;non;Minivan;12;oui;Private;Highly Urban/ Urban;0;mars;dev_integral;[300-450]
668;F;[45-55];[25-50];non;non;Minivan;13;non;Commercial;Highly Urban/ Urban;4;avril;dev_integral;[300-450]
669;F;< 15;[25-50];non;non;z_SUV;1;non;Private;Highly Urban/ Urban;2;janvier;dev_integral;[300-450]
670;M;[15-25];[100-125];oui;oui;z_SUV;15;non;Private;Highly Urban/ Urban;4;avril;dev_integral;[300-450]
671;F;[15-25];< 25;oui;non;z_SUV;8;non;Commercial;z_Highly Rural/ Rural;3;mai;dev_express;< 300
672;M;[35-45];< 25;oui;non;z_SUV;1;non;Private;z_Highly Rural/ Rural;1;février;dev_integral;< 300
673;M;[65-75];[50-75];oui;non;Pickup;1;non;Private;z_Highly Rural/ Rural;1;avril;dev_express;< 300
674;F;[45-55];[50-75];non;non;Pickup;6;non;Commercial;Highly Urban/ Urban;1;février;dev_integral;< 300
675;M;> 75;< 25;non;non;Minivan;1;oui;Commercial;z_Highly Rural/ Rural;0;janvier;dev_express;< 300
676;M;> 75;[75-100];oui;non;Pickup;16;non;Commercial;Highly Urban/ Urban;4;mars;dev_integral;[300-450]
677;F;[65-75];[50-75];oui;non;z_SUV;11;non;Commercial;Highly Urban/ Urban;5;mai;dev_integral;< 300
678;F;[25-35];[50-75];non;non;Minivan;15;oui;Private;Highly Urban/ Urban;5;janvier;dev_integral;< 300
679;M;[65-75];[50-75];oui;oui;z_SUV;1;non;Commercial;Highly Urban/ Urban;3;mars;dev_integral;< 300
680;M;[25-35];[50-75];non;non;Minivan;1;oui;Private;z_Highly Rural/ Rural;0;mars;dev_integral;[300-450]
681;F;< 15;[25-50];oui;oui;Van;5;non;Commercial;Highly Urban/ Urban;1;janvier;dev_express;< 300
682;M;[15-25];[125-150];non;non;Van;5;oui;Commercial;Highly Urban/ Urban;0;mai;dev_premium;[300-450]
683;M;[65-75];[25-50];non;non;z_SUV;8;non;Private;z_Highly Rural/ Rural;0;janvier;dev_express;< 300
684;F;[65-75];[25-50];non;non;Minivan;1;oui;Private;Highly Urban/ Urban;1;janvier;dev_premium;[450-600]
685;F;[35-45];[25-50];oui;non;z_SUV;6;non;Commercial;Highly Urban/ Urban;1;avril;dev_integral;[300-450]
686;F;< 15;[75-100];non;non;z_SUV;11;non;Private;Highly Urban/ Urban;0;mars;dev_express;< 300
687;M;[65-75];[100-125];non;non;Minivan;1;oui;Private;Highly Urban/ Urban;0;mars;dev_express;< 300
688;M;[65-75];[75-100];non;non;Van;8;oui;Commercial;z_Highly Rural/ Rural;2;février;dev_integral;[300-450]
689;M;> 75;[50-75];non;non;Minivan;3;non;Commercial;Highly Urban/ Urban;0;mars;dev_express;< 300
690;F;[25-35];< 25;oui;non;Pickup;5;oui;Commercial;Highly Urban/ Urban;0;janvier;dev_premium;[300-450]
691;M;[45-55];[25-50];non;non;Minivan;15;non;Private;Highly Urban/ Urban;0;avril;dev_premium;[300-450]
692;M;> 75;< 25;non;non;Minivan;20;non;Private;Highly Urban/ Urban;0;mai;dev_integral;[300-450]
693;F;< 15;[50-75];non;non;Pickup;8;oui;Commercial;Highly Urban/ Urban;4;mars;dev_premium;[450-600]
694;F;[35-45];[75-100];non;non;z_SUV;8;non;Private;Highly Urban/ Urban;1;mai;dev_express;< 300
695;F;[45-55];[25-50];non;non;Pickup;1;oui;Private;Highly Urban/ Urban;2;mai;dev_express;< 300
696;M;< 15;< 25;non;non;Minivan;12;non;Private;Highly Urban/ Urban;2;mai;dev_express;< 300
697;M;[45-55];[50-75];non;non;Minivan;11;oui;Private;Highly Urban/ Urban;0;avril;dev_express;< 300
698;M;[35-45];[125-150];non;non;Minivan;10;non;Private;z_Highly Rural/ Rural;1;mai;dev_express;< 300
699;M;[45-55];[50-75];oui;non;z_SUV;12;non;Private;Highly Urban/ Urban;1;février;dev_integral;< 300
700;F;[55-65];< 25;oui;non;Minivan;1;non;Private;z_Highly Rural/ Rural;6;mars;dev_express;< 300
701;M;[55-65];[25-50];oui;oui;z_SUV;5;non;Private;z_Highly Rural/ Rural;0;mai;dev_integral;[300-450]
